127.0.0.1, 2018-09-30 13:44:09, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.120772
127.0.0.1, 2018-09-30 13:44:09, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.196240
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/images/save_icon.png, HTTP/1.1, 200, 0.003287
127.0.0.1, 2018-09-30 13:44:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000357
127.0.0.1, 2018-09-30 13:44:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.695481
127.0.0.1, 2018-09-30 13:44:20, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.139399
127.0.0.1, 2018-09-30 13:44:22, GET, /admin/default/edit/welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.028019
127.0.0.1, 2018-09-30 13:44:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000247
127.0.0.1, 2018-09-30 13:44:24, GET, /admin/default/edit/welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 303, 0.097510
127.0.0.1, 2018-09-30 13:44:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000463
127.0.0.1, 2018-09-30 13:44:24, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.179265
127.0.0.1, 2018-09-30 13:44:24, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.229100
127.0.0.1, 2018-09-30 13:44:24, GET, /welcome/appadmin/index, HTTP/1.1, 200, 1.274187
127.0.0.1, 2018-09-30 13:44:24, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.367450
127.0.0.1, 2018-09-30 13:44:24, GET, /admin/default/site, HTTP/1.1, 200, 0.461313
127.0.0.1, 2018-09-30 13:44:27, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 3.227682
127.0.0.1, 2018-09-30 13:44:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000330
127.0.0.1, 2018-09-30 13:44:30, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 2.584306
127.0.0.1, 2018-09-30 13:44:33, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.742755
127.0.0.1, 2018-09-30 13:44:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000198
127.0.0.1, 2018-09-30 13:44:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000486
127.0.0.1, 2018-09-30 13:44:44, GET, /admin/default/plugins/welcome, HTTP/1.1, 200, 0.877603
127.0.0.1, 2018-09-30 13:44:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000289
127.0.0.1, 2018-09-30 13:45:00, GET, /welcome/appadmin/select/db, HTTP/1.1, 200, 1.398773
127.0.0.1, 2018-09-30 13:45:23, GET, /welcome/appadmin/index, HTTP/1.1, 200, 0.319331
127.0.0.1, 2018-09-30 13:45:24, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.505192
127.0.0.1, 2018-09-30 13:45:28, GET, /welcome/appadmin/select/db, HTTP/1.1, 200, 1.338739
127.0.0.1, 2018-09-30 13:45:32, GET, /welcome/appadmin/index, HTTP/1.1, 200, 0.386695
127.0.0.1, 2018-09-30 13:45:33, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.456929
127.0.0.1, 2018-09-30 13:45:34, GET, /welcome/appadmin/insert/db/auth_membership, HTTP/1.1, 200, 0.353899
127.0.0.1, 2018-09-30 13:55:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.735149
127.0.0.1, 2018-09-30 14:39:26, GET, /, HTTP/1.1, 303, 0.009679
127.0.0.1, 2018-09-30 14:39:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.253238
127.0.0.1, 2018-09-30 14:41:04, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.256597
127.0.0.1, 2018-09-30 14:41:05, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.044532
127.0.0.1, 2018-09-30 14:41:05, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.129328
127.0.0.1, 2018-09-30 14:41:05, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.170927
127.0.0.1, 2018-09-30 14:41:05, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.210069
127.0.0.1, 2018-09-30 14:41:05, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.221826
127.0.0.1, 2018-09-30 14:41:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000425
